country,year_,CountryID
Sweden,2015,1324
Japan,2015,1325
Sweden,2015,1326
USA,2015,1327
United Kingdom,2015,1328
Netherlands,2015,1329
Australia,2015,1330
France,2015,1331
Brazil,2015,1332
Canada,2015,1333
Netherlands,2015,1334
Singapore,2015,1335
Israel,2015,1336
USA,2015,1337
USA,2015,1338
USA,2015,1339
United Kingdom,2015,1340
USA,2015,1341
USA,2015,1342
USA,2015,1343
South Korea,2015,1344
Australia,2015,1345
USA,2015,1346
Germany,2015,1347
United Kingdom,2015,1348
South Africa,2015,1349
Canada,2015,1350
Canada,2015,1351
United Kingdom,2015,1352
Germany,2015,1353
USA,2015,1354
Germany,2015,1355
Germany,2015,1356
USA,2015,1357
Germany,2015,1358
USA,2015,1359
Switzerland,2015,1360
United Kingdom,2015,1361
Germany,2015,1362
Belgium,2015,1363
USA,2015,1364
South Korea,2015,1365
USA,2015,1366
Canada,2015,1367
Sweden,2015,1368
Italy,2015,1369
Hong Kong,2015,1370
USA,2015,1371
Italy,2015,1372
United Kingdom,2015,1373
Denmark,2015,1374
USA,2015,1375
Germany,2015,1376
Germany,2015,1377
Japan,2015,1378
Australia,2015,1379
China,2015,1380
USA,2015,1381
France,2015,1382
USA,2015,1383
USA,2015,1384
Ireland,2015,1385
Switzerland,2015,1386
USA,2015,1387
France,2015,1388
USA,2015,1389
USA,2015,1390
China,2015,1391
South Korea,2015,1392
Canada,2015,1393
USA,2015,1394
China,2015,1395
USA,2015,1396
Germany,2015,1397
USA,2015,1398
United Kingdom,2015,1399
Switzerland,2015,1400
United Kingdom,2015,1401
USA,2015,1402
USA,2015,1403
Germany,2015,1404
Germany,2015,1405
France,2015,1406
France,2015,1407
Italy,2015,1408
United Kingdom,2015,1409
Germany,2015,1410
South Korea,2015,1411
United Kingdom,2015,1412
Germany,2015,1413
USA,2015,1414
Germany,2015,1415
Australia,2015,1416
France,2015,1417
USA,2015,1418
USA,2015,1419
Hong Kong,2015,1420
Italy,2015,1421
Canada,2015,1422
Austria,2015,1423
France,2015,1424
Netherlands,2015,1425
Taiwan,2015,1426
USA,2015,1427
Spain,2015,1428
Canada,2015,1429
Germany,2015,1430
Belgium,2015,1431
USA,2015,1432
Germany,2015,1433
USA,2015,1434
Germany,2015,1435
France,2015,1436
Sweden,2015,1437
Ireland,2015,1438
China,2015,1439
United Kingdom,2015,1440
Spain,2015,1441
United Kingdom,2015,1442
Norway,2015,1443
China,2015,1444
Japan,2015,1445
United Kingdom,2015,1446
Italy,2015,1447
South Africa,2015,1448
USA,2015,1449
Russia,2015,1450
Germany,2015,1451
USA,2015,1452
United Kingdom,2015,1453
USA,2015,1454
Netherlands,2015,1455
USA,2015,1456
Portugal,2015,1457
USA,2015,1458
USA,2015,1459
USA,2015,1460
United Kingdom,2015,1461
Japan,2015,1462
United Kingdom,2015,1463
USA,2015,1464
Austria,2015,1465
New Zealand,2015,1466
USA,2015,1467
Italy,2015,1468
Canada,2015,1469
Czech Republic,2015,1470
USA,2015,1471
USA,2015,1472
USA,2015,1473
USA,2015,1474
USA,2015,1475
Netherlands,2015,1476
China,2015,1477
Germany,2015,1478
United Kingdom,2015,1479
Belgium,2015,1480
USA,2015,1481
USA,2015,1482
Norway,2015,1483
Canada,2015,1484
United Kingdom,2015,1485
Canada,2015,1486
Sweden,2015,1487
Germany,2015,1488
USA,2015,1489
Japan,2015,1490
USA,2015,1491
Germany,2015,1492
United Kingdom,2015,1493
Spain,2015,1494
Italy,2015,1495
Germany,2015,1496
USA,2015,1497
USA,2015,1498
France,2015,1499
